iteration,epoch,batch_in_epoch,batches_per_epoch,loss_instant,loss_running_avg
1883,12,35,168,0.0010345,0.025079
1888,12,40,168,0.0010722,0.025022
1893,12,45,168,0.00053396,0.024965
1898,12,50,168,0.0005961,0.024912
1903,12,55,168,0.0085047,0.024863
1908,12,60,168,0.0068343,0.02481
1913,12,65,168,0.00072493,0.024752
1918,12,70,168,0.0014191,0.024698
1923,12,75,168,0.0039685,0.024638
1928,12,80,168,0.016702,0.024593
1933,12,85,168,0.00031426,0.024531
1938,12,90,168,0.00042802,0.024482
1943,12,95,168,0.0016787,0.02443
1948,12,100,168,0.0069724,0.024386
1953,12,105,168,0.0030826,0.024335
1958,12,110,168,0.0026326,0.024279
1963,12,115,168,0.016277,0.024241
1968,12,120,168,0.010922,0.0242
1973,12,125,168,0.00043468,0.024145
1978,12,130,168,0.001263,0.024104
1983,12,135,168,0.00066021,0.024046
1988,12,140,168,0.021959,0.024004
1993,12,145,168,0.00086068,0.023961
1998,12,150,168,0.003096,0.023909
2003,12,155,168,0.0027119,0.023856
2008,12,160,168,0.030195,0.023812
2013,12,165,168,0.0017476,0.023762
2184,14,0,168,0.0078952,0.022256
2189,14,5,168,0.1207,0.022683
2194,14,10,168,0.034166,0.022779
2199,14,15,168,0.029252,0.022824
2204,14,20,168,0.018207,0.022843
2209,14,25,168,0.027121,0.022842
2214,14,30,168,0.0056322,0.022812
2219,14,35,168,0.031696,0.0228
2224,14,40,168,0.0084967,0.022769
2229,14,45,168,0.0011494,0.022745
2234,14,50,168,0.0086479,0.022734
2239,14,55,168,0.0067758,0.022706
2244,14,60,168,0.0081716,0.022665
2249,14,65,168,0.017397,0.022636
2254,14,70,168,0.023459,0.022607
2259,14,75,168,0.0062301,0.022566
2264,14,80,168,0.020434,0.022531
2269,14,85,168,0.0027397,0.022503
2274,14,90,168,0.0078571,0.022463
2279,14,95,168,0.0083097,0.02242
2284,14,100,168,0.014261,0.022386
2289,14,105,168,0.0031423,0.022347
2294,14,110,168,0.00043173,0.022314
2299,14,115,168,0.00067431,0.022282
2304,14,120,168,0.0019511,0.02224
2309,14,125,168,0.0070652,0.022204
2314,14,130,168,0.010531,0.022168
2319,14,135,168,0.0021992,0.022126
2324,14,140,168,0.010393,0.022091
2329,14,145,168,0.0013874,0.022049
2334,14,150,168,0.00080885,0.022007
2339,14,155,168,0.0067556,0.021978
2344,14,160,168,0.013871,0.021946
2349,14,165,168,0.0031758,0.021905
2520,16,0,168,0.00032438,0.020618
2525,16,5,168,0.0001764,0.020586
2530,16,10,168,0.00057045,0.020549
2535,16,15,168,0.0041944,0.020523
2540,16,20,168,0.0010922,0.020485
2545,16,25,168,0.0055981,0.020455
2550,16,30,168,0.00079086,0.020416
2555,16,35,168,0.00058012,0.020382
2560,16,40,168,0.00086002,0.020353
2565,16,45,168,9.2998e-05,0.020314
2570,16,50,168,0.00019588,0.020282
2575,16,55,168,0.00012457,0.020255
2580,16,60,168,0.0094933,0.02022
2585,16,65,168,0.0011672,0.020182
2590,16,70,168,0.029303,0.020161
2595,16,75,168,0.0012373,0.020123
2600,16,80,168,0.00038025,0.020087
2605,16,85,168,0.0010041,0.020052
2610,16,90,168,0.0019701,0.020021
2615,16,95,168,0.00013706,0.019983
2620,16,100,168,0.00035621,0.019945
2625,16,105,168,0.00036097,0.019908
2630,16,110,168,0.00011623,0.019879
2635,16,115,168,0.0031949,0.019844
2640,16,120,168,0.0042242,0.019809
2645,16,125,168,0.00014468,0.019772
2650,16,130,168,0.00032386,0.019735
2655,16,135,168,0.00017326,0.019698
2660,16,140,168,0.0071318,0.019664
2665,16,145,168,0.00061329,0.019627
2670,16,150,168,0.00061145,0.019592
2675,16,155,168,0.00080531,0.019566
2680,16,160,168,4.9126e-05,0.019531
2685,16,165,168,0.00011701,0.019495
2856,18,0,168,0.00043837,0.018508
2861,18,5,168,0.00019596,0.018482
2866,18,10,168,0.0004703,0.018455
2871,18,15,168,0.026266,0.01845
2876,18,20,168,0.0013266,0.018454
2881,18,25,168,0.0076151,0.018431
2886,18,30,168,0.00042012,0.018405
2891,18,35,168,0.00070983,0.018374
2896,18,40,168,0.00023838,0.018347
2901,18,45,168,0.00020677,0.018321
2906,18,50,168,0.0010249,0.01829
2911,18,55,168,0.0091703,0.018263
2916,18,60,168,0.00033992,0.018234
2921,18,65,168,0.00026809,0.01821
2926,18,70,168,0.00027089,0.018183
2931,18,75,168,0.00078184,0.018153
2936,18,80,168,0.013381,0.018129
2941,18,85,168,0.00017578,0.018104
2946,18,90,168,0.0055731,0.018076
2951,18,95,168,5.9522e-05,0.018045
2956,18,100,168,7.0668e-05,0.018015
2961,18,105,168,0.0012622,0.018004
2966,18,110,168,0.0032192,0.017984
2971,18,115,168,0.0005524,0.017956
2976,18,120,168,0.00070921,0.017928
2981,18,125,168,0.00084156,0.0179
2986,18,130,168,0.0001682,0.01787
2991,18,135,168,0.00018091,0.017842
2996,18,140,168,0.010852,0.017818
3001,18,145,168,0.0081503,0.017791
3006,18,150,168,0.00039121,0.017763
3011,18,155,168,0.0001405,0.017741
3016,18,160,168,0.0010367,0.017721
3021,18,165,168,0.00018459,0.017698
3192,20,0,168,0.00017019,0.016864
3197,20,5,168,6.9637e-05,0.016842
3202,20,10,168,0.00015888,0.016827
3207,20,15,168,0.013797,0.016812
3212,20,20,168,0.0020208,0.016788
3217,20,25,168,0.0018066,0.016763
3222,20,30,168,0.0016212,0.016743
3227,20,35,168,0.001195,0.016721
3232,20,40,168,0.0017317,0.016698
3237,20,45,168,7.331e-05,0.016672
3242,20,50,168,0.013045,0.016652
3247,20,55,168,4.2168e-05,0.016627
3252,20,60,168,0.00027781,0.016602
3257,20,65,168,4.8314e-05,0.016576
3262,20,70,168,2.6207e-05,0.016552
3267,20,75,168,0.00026257,0.016528
3272,20,80,168,4.8826e-05,0.016507
3277,20,85,168,0.0079031,0.016484
3282,20,90,168,0.017208,0.01648
3287,20,95,168,0.00091965,0.016461
3292,20,100,168,0.0041746,0.01644
3297,20,105,168,8.5092e-05,0.016416
3302,20,110,168,0.0004018,0.016393
3307,20,115,168,0.019342,0.016383
3312,20,120,168,0.00043828,0.016366
3317,20,125,168,0.0012971,0.016344
3322,20,130,168,0.0042863,0.016336
3327,20,135,168,0.001558,0.016324
3332,20,140,168,0.00068625,0.016309
3337,20,145,168,0.0033827,0.016296
3342,20,150,168,0.0020861,0.016276
3347,20,155,168,0.00063202,0.016255
3352,20,160,168,0.00031781,0.016232
3357,20,165,168,0.00013599,0.016208
3528,22,0,168,0.00018673,0.015611
3533,22,5,168,0.0045763,0.015606
3538,22,10,168,0.0034449,0.015593
3543,22,15,168,0.0075997,0.015579
3548,22,20,168,0.0083913,0.015566
3553,22,25,168,7.0816e-05,0.015547
3558,22,30,168,0.00022341,0.015529
3563,22,35,168,0.0070654,0.01551
3568,22,40,168,0.00025978,0.015491
3573,22,45,168,0.023688,0.015478
