[2024-07-02 13:18:58] [PID 0] [INFO] Load config successfully!
[2024-07-02 13:18:58] [PID 0] [INFO] {'batch_size': 512,
 'ckpt_path': 'checkpoints/checkpoint_0',
 'comment': 'no comments',
 'continuous_train': False,
 'crystal_gnn_config': {'atom_fea_len': 512, 'n_conv': 3},
 'dmin': 0,
 'drop_rate': 0.25,
 'dtype': torch.float32,
 'epochs': 500,
 'experiment_name': '0',
 'figs_train': 'figs/train_0.pdf',
 'head_output_dim': 2,
 'load_pretrain': True,
 'log_batch_freq': 5,
 'log_epoch_freq': 2,
 'log_file': 'logs/out_0.log',
 'lr': 0.001,
 'lr_milestones': [100],
 'max_num_nbr': 12,
 'momentum': 0.9,
 'num_workers': 8,
 'pre_ckpt_path': 'checkpoints/pre_checkpoint_0',
 'precision': 'float32',
 'processed_dir': {'negative': 'processed_negative',
                   'positive': 'processed_positive'},
 'radius': 20,
 'random_seed': 666,
 'ratio': 711,
 'root_dir': 'data',
 'sample_size': 10,
 'save_epoch_freq': 5,
 'shuffle': True,
 'step': 0.2,
 'weight_decay': 0}
[2024-07-02 13:18:58] [PID 0] [INFO] Load data...
[2024-07-02 13:18:58] [PID 0] [INFO] Process...
[2024-07-02 13:19:35] [PID 0] [INFO] Total number of data points: 85590
[2024-07-02 13:19:35] [PID 0] [INFO] Number of batches per epoch: 168
[2024-07-02 13:19:39] [PID 0] [INFO] Train...
[2024-07-02 13:22:50] [PID 0] [INFO] [Train] Epoch [4/500] [20/168]	 BT 0.330 (0.364)	 DT 0.010 (0.021)	 Loss 1.5033e-02 (6.4835e-02)	
[2024-07-02 13:22:52] [PID 0] [INFO] [Train] Epoch [4/500] [25/168]	 BT 0.338 (0.364)	 DT 0.010 (0.021)	 Loss 2.5581e-02 (6.4366e-02)	
[2024-07-02 13:22:53] [PID 0] [INFO] [Train] Epoch [4/500] [30/168]	 BT 0.354 (0.364)	 DT 0.010 (0.021)	 Loss 2.5061e-02 (6.3920e-02)	
[2024-07-02 13:22:55] [PID 0] [INFO] [Train] Epoch [4/500] [35/168]	 BT 0.330 (0.363)	 DT 0.010 (0.021)	 Loss 1.0064e-02 (6.3493e-02)	
[2024-07-02 13:22:57] [PID 0] [INFO] [Train] Epoch [4/500] [40/168]	 BT 0.346 (0.363)	 DT 0.011 (0.021)	 Loss 1.1554e-02 (6.3085e-02)	
[2024-07-02 13:22:59] [PID 0] [INFO] [Train] Epoch [4/500] [45/168]	 BT 0.341 (0.363)	 DT 0.011 (0.021)	 Loss 2.3517e-02 (6.2675e-02)	
[2024-07-02 13:23:00] [PID 0] [INFO] [Train] Epoch [4/500] [50/168]	 BT 0.349 (0.363)	 DT 0.010 (0.021)	 Loss 2.8446e-03 (6.2215e-02)	
[2024-07-02 13:23:02] [PID 0] [INFO] [Train] Epoch [4/500] [55/168]	 BT 0.334 (0.363)	 DT 0.010 (0.021)	 Loss 4.9821e-03 (6.1714e-02)	
[2024-07-02 13:23:04] [PID 0] [INFO] [Train] Epoch [4/500] [60/168]	 BT 0.344 (0.363)	 DT 0.010 (0.021)	 Loss 2.2252e-02 (6.1288e-02)	
[2024-07-02 13:23:06] [PID 0] [INFO] [Train] Epoch [4/500] [65/168]	 BT 0.322 (0.363)	 DT 0.010 (0.021)	 Loss 4.3569e-02 (6.0960e-02)	
[2024-07-02 13:23:07] [PID 0] [INFO] [Train] Epoch [4/500] [70/168]	 BT 0.330 (0.363)	 DT 0.010 (0.021)	 Loss 4.9286e-03 (6.0518e-02)	
[2024-07-02 13:23:09] [PID 0] [INFO] [Train] Epoch [4/500] [75/168]	 BT 0.336 (0.362)	 DT 0.010 (0.021)	 Loss 1.8279e-02 (6.0126e-02)	
[2024-07-02 13:23:11] [PID 0] [INFO] [Train] Epoch [4/500] [80/168]	 BT 0.371 (0.362)	 DT 0.011 (0.021)	 Loss 5.2709e-03 (5.9661e-02)	
